"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"77","Houston Rockets vs New York Knicks – 1st Qtr Highlights | October 9, 2017 | 2017 NBA… https://t.co/WzWLMKZHyv https://t.co/C6nOUK6OmR",FALSE,0,NA,2017-10-10 05:34:14,FALSE,NA,"917624290916347905",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","houstoninformer",0,FALSE,FALSE,NA,NA
"78","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 05:31:43,FALSE,NA,"917623656758554624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kizero14",91,TRUE,FALSE,NA,NA
"79","Michael Jordan makes largest philanthropic donation ever to fund clinics in Charlotte https://t.co/eFgbRKRh3p via @CBSSports",FALSE,0,NA,2017-10-10 05:29:49,FALSE,NA,"917623180071768064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","richbonnin",0,FALSE,FALSE,NA,NA
"80","RT @_ThatBoyBV: Can’t stress over a situation you don’t have control over.",FALSE,0,NA,2017-10-10 05:28:29,FALSE,NA,"917622846159024129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nba_youngshae",2,TRUE,FALSE,NA,NA
"81","<ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BD><ed><U+00BA><U+0080>#Rockets might get more wide open looks at 3's than last season. <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/eWONPKq4cs",FALSE,0,NA,2017-10-10 05:24:34,FALSE,NA,"917621859016937473",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ReasonsRExcuses",0,FALSE,FALSE,NA,NA
"82","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 05:24:18,FALSE,NA,"917621790163308544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lcl339",91,TRUE,FALSE,NA,NA
"83","NBA 2K18: HAM {Online Grindplay} #NBA2K18: https://t.co/brDghYKVDc via @YouTube",FALSE,0,NA,2017-10-10 05:20:16,FALSE,NA,"917620777008197635",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","D5713_",0,FALSE,FALSE,NA,NA
"84","NBA Live 18: Roster And Jersey Updates {Online Grindplay} #NBALIVE18: https://t.co/j3ZDbIfpmo via @YouTube",FALSE,0,NA,2017-10-10 05:16:33,FALSE,NA,"917619840441085952",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","D5713_",0,FALSE,FALSE,NA,NA
"85","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 05:13:13,FALSE,NA,"917619003983613952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Louis_Mtt",91,TRUE,FALSE,NA,NA
"86","@OroZco_19 @LegionHoops Welcome to the NBA moment <ed><U+00A0><U+00BD><ed><U+00B8><U+0085><ed><U+00A0><U+00BD><ed><U+00B8><U+0085>",FALSE,1,"OroZco_19",2017-10-10 05:11:36,FALSE,"917597439829430272","917618597077422080","252919186","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","E_Zmoney9",0,FALSE,FALSE,NA,NA
